TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
10;0;0.002;0.004;0.006;0.008;0.01;0.012;0.022;0.031;0.02;0.009;0.008;0.006;0.005;0.003;0.002;0;0;0;0;0;-0.001;-0.002;-0.003;-0.004;-0.005;-0.006;-0.006;-0.007;-0.008;-0.009;-0.01;-0.011;-0.012;-0.013;-0.014;-0.015;-0.016;-0.017;-0.018;-0.019;-0.018;-0.017;-0.017;-0.016;-0.015;-0.015;-0.014;-0.014;-0.013;-0.012;-0.012;-0.011;-0.01;-0.01;-0.009;-0.009;-0.008;-0.007;-0.007;-0.006;-0.006;-0.005;-0.004;-0.004;-0.003;-0.002;-0.002;-0.001;-0.001;0
11;0;0.002;0.005;0.007;0.009;0.011;0.014;0.024;0.034;0.022;0.01;0.009;0.007;0.005;0.004;0.002;0;0;0;0;0;-0.001;-0.002;-0.003;-0.004;-0.005;-0.006;-0.007;-0.008;-0.009;-0.01;-0.011;-0.012;-0.013;-0.014;-0.015;-0.016;-0.017;-0.018;-0.019;-0.02;-0.02;-0.019;-0.018;-0.018;-0.017;-0.016;-0.016;-0.015;-0.014;-0.014;-0.013;-0.012;-0.012;-0.011;-0.01;-0.01;-0.009;-0.008;-0.007;-0.007;-0.006;-0.005;-0.005;-0.004;-0.003;-0.003;-0.002;-0.001;-0.001;0
12;0;0.002;0.005;0.007;0.01;0.012;0.015;0.026;0.037;0.024;0.011;0.009;0.007;0.006;0.004;0.002;0;0;0;0;0;-0.001;-0.002;-0.003;-0.004;-0.006;-0.007;-0.008;-0.009;-0.01;-0.011;-0.012;-0.013;-0.014;-0.016;-0.017;-0.018;-0.019;-0.02;-0.021;-0.022;-0.021;-0.021;-0.02;-0.019;-0.019;-0.018;-0.017;-0.016;-0.016;-0.015;-0.014;-0.013;-0.013;-0.012;-0.011;-0.01;-0.01;-0.009;-0.008;-0.007;-0.007;-0.006;-0.005;-0.004;-0.004;-0.003;-0.002;-0.001;-0.001;0
13;0;0.003;0.005;0.008;0.011;0.013;0.016;0.028;0.04;0.026;0.012;0.01;0.008;0.006;0.004;0.002;0;0;0;0;0;-0.001;-0.002;-0.004;-0.005;-0.006;-0.007;-0.008;-0.01;-0.011;-0.012;-0.013;-0.014;-0.016;-0.017;-0.018;-0.019;-0.02;-0.022;-0.023;-0.024;-0.023;-0.022;-0.022;-0.021;-0.02;-0.019;-0.018;-0.018;-0.017;-0.016;-0.015;-0.014;-0.014;-0.013;-0.012;-0.011;-0.01;-0.01;-0.009;-0.008;-0.007;-0.006;-0.006;-0.005;-0.004;-0.003;-0.002;-0.002;-0.001;0
14;0;0.003;0.006;0.009;0.012;0.014;0.017;0.03;0.043;0.028;0.013;0.011;0.009;0.007;0.005;0.002;0;0;0;0;0;-0.001;-0.003;-0.004;-0.005;-0.006;-0.008;-0.009;-0.01;-0.012;-0.013;-0.014;-0.016;-0.017;-0.018;-0.019;-0.021;-0.022;-0.023;-0.025;-0.026;-0.025;-0.024;-0.023;-0.022;-0.022;-0.021;-0.02;-0.019;-0.018;-0.017;-0.016;-0.016;-0.015;-0.014;-0.013;-0.012;-0.011;-0.01;-0.01;-0.009;-0.008;-0.007;-0.006;-0.005;-0.004;-0.003;-0.003;-0.002;-0.001;0
15;0;0.003;0.006;0.009;0.012;0.015;0.019;0.032;0.046;0.03;0.014;0.012;0.009;0.007;0.005;0.002;0;0;0;0;0;-0.001;-0.003;-0.004;-0.006;-0.007;-0.008;-0.01;-0.011;-0.013;-0.014;-0.015;-0.017;-0.018;-0.019;-0.021;-0.022;-0.024;-0.025;-0.026;-0.028;-0.027;-0.026;-0.025;-0.024;-0.023;-0.022;-0.021;-0.02;-0.019;-0.019;-0.018;-0.017;-0.016;-0.015;-0.014;-0.013;-0.012;-0.011;-0.01;-0.009;-0.008;-0.007;-0.006;-0.006;-0.005;-0.004;-0.003;-0.002;-0.001;0
16;0;0.003;0.007;0.01;0.013;0.016;0.02;0.035;0.049;0.032;0.015;0.012;0.01;0.008;0.005;0.003;0;0;0;0;0;-0.001;-0.003;-0.004;-0.006;-0.007;-0.009;-0.01;-0.012;-0.013;-0.015;-0.016;-0.018;-0.019;-0.021;-0.022;-0.024;-0.025;-0.027;-0.028;-0.03;-0.029;-0.028;-0.027;-0.026;-0.025;-0.024;-0.023;-0.022;-0.021;-0.02;-0.019;-0.018;-0.017;-0.016;-0.015;-0.014;-0.013;-0.012;-0.011;-0.01;-0.009;-0.008;-0.007;-0.006;-0.005;-0.004;-0.003;-0.002;-0.001;0
17;0;0.003;0.007;0.011;0.014;0.017;0.021;0.037;0.053;0.034;0.016;0.013;0.011;0.008;0.006;0.003;0;0;0;0;0;-0.002;-0.003;-0.005;-0.006;-0.008;-0.009;-0.011;-0.013;-0.014;-0.016;-0.017;-0.019;-0.02;-0.022;-0.024;-0.025;-0.027;-0.028;-0.03;-0.031;-0.03;-0.029;-0.028;-0.027;-0.026;-0.025;-0.024;-0.023;-0.022;-0.021;-0.02;-0.019;-0.018;-0.017;-0.016;-0.015;-0.014;-0.013;-0.012;-0.01;-0.009;-0.008;-0.007;-0.006;-0.005;-0.004;-0.003;-0.002;-0.001;0
18;0;0.004;0.007;0.011;0.015;0.019;0.022;0.039;0.056;0.036;0.017;0.014;0.011;0.008;0.006;0.003;0;0;0;0;0;-0.002;-0.003;-0.005;-0.007;-0.008;-0.01;-0.012;-0.013;-0.015;-0.017;-0.018;-0.02;-0.022;-0.023;-0.025;-0.027;-0.028;-0.03;-0.032;-0.033;-0.032;-0.031;-0.03;-0.029;-0.028;-0.027;-0.026;-0.024;-0.023;-0.022;-0.021;-0.02;-0.019;-0.018;-0.017;-0.016;-0.014;-0.013;-0.012;-0.011;-0.01;-0.009;-0.008;-0.007;-0.006;-0.004;-0.003;-0.002;-0.001;0
19;0;0.004;0.008;0.012;0.016;0.02;0.023;0.041;0.059;0.038;0.018;0.015;0.012;0.009;0.006;0.003;0;0;0;0;0;-0.002;-0.004;-0.005;-0.007;-0.009;-0.011;-0.012;-0.014;-0.016;-0.018;-0.019;-0.021;-0.023;-0.025;-0.026;-0.028;-0.03;-0.032;-0.033;-0.035;-0.034;-0.033;-0.032;-0.031;-0.029;-0.028;-0.027;-0.026;-0.025;-0.023;-0.022;-0.021;-0.02;-0.019;-0.018;-0.016;-0.015;-0.014;-0.013;-0.012;-0.011;-0.009;-0.008;-0.007;-0.006;-0.005;-0.004;-0.002;-0.001;0
20;0;0.004;0.008;0.012;0.016;0.021;0.025;0.043;0.062;0.04;0.019;0.016;0.012;0.009;0.006;0.003;0;0;0;0;0;-0.002;-0.004;-0.006;-0.007;-0.009;-0.011;-0.013;-0.015;-0.017;-0.019;-0.02;-0.022;-0.024;-0.026;-0.028;-0.03;-0.031;-0.033;-0.035;-0.037;-0.036;-0.035;-0.033;-0.032;-0.031;-0.03;-0.028;-0.027;-0.026;-0.025;-0.023;-0.022;-0.021;-0.02;-0.019;-0.017;-0.016;-0.015;-0.014;-0.012;-0.011;-0.01;-0.009;-0.007;-0.006;-0.005;-0.004;-0.002;-0.001;0
21;0;0.004;0.009;0.013;0.017;0.022;0.026;0.045;0.065;0.042;0.02;0.016;0.013;0.01;0.007;0.003;0;0;0;0;0;-0.002;-0.004;-0.006;-0.008;-0.01;-0.012;-0.014;-0.016;-0.018;-0.019;-0.021;-0.023;-0.025;-0.027;-0.029;-0.031;-0.033;-0.035;-0.037;-0.039;-0.038;-0.036;-0.035;-0.034;-0.032;-0.031;-0.03;-0.029;-0.027;-0.026;-0.025;-0.023;-0.022;-0.021;-0.019;-0.018;-0.017;-0.016;-0.014;-0.013;-0.012;-0.01;-0.009;-0.008;-0.006;-0.005;-0.004;-0.003;-0.001;0
22;0;0.005;0.009;0.014;0.018;0.023;0.027;0.048;0.068;0.044;0.021;0.017;0.014;0.01;0.007;0.004;0;0;0;0;0;-0.002;-0.004;-0.006;-0.008;-0.01;-0.012;-0.014;-0.016;-0.018;-0.02;-0.022;-0.024;-0.026;-0.029;-0.031;-0.033;-0.035;-0.037;-0.039;-0.041;-0.039;-0.038;-0.037;-0.035;-0.034;-0.033;-0.031;-0.03;-0.029;-0.027;-0.026;-0.024;-0.023;-0.022;-0.02;-0.019;-0.018;-0.016;-0.015;-0.014;-0.012;-0.011;-0.01;-0.008;-0.007;-0.005;-0.004;-0.003;-0.001;0
23;0;0.005;0.009;0.014;0.019;0.024;0.028;0.05;0.071;0.046;0.022;0.018;0.014;0.011;0.007;0.004;0;0;0;0;0;-0.002;-0.004;-0.006;-0.009;-0.011;-0.013;-0.015;-0.017;-0.019;-0.021;-0.023;-0.026;-0.028;-0.03;-0.032;-0.034;-0.036;-0.038;-0.04;-0.043;-0.041;-0.04;-0.038;-0.037;-0.036;-0.034;-0.033;-0.031;-0.03;-0.028;-0.027;-0.026;-0.024;-0.023;-0.021;-0.02;-0.018;-0.017;-0.016;-0.014;-0.013;-0.011;-0.01;-0.009;-0.007;-0.006;-0.004;-0.003;-0.001;0
24;0;0.005;0.01;0.015;0.02;0.025;0.03;0.052;0.074;0.048;0.023;0.019;0.015;0.011;0.008;0.004;0;0;0;0;0;-0.002;-0.004;-0.007;-0.009;-0.011;-0.013;-0.016;-0.018;-0.02;-0.022;-0.024;-0.027;-0.029;-0.031;-0.033;-0.036;-0.038;-0.04;-0.042;-0.044;-0.043;-0.042;-0.04;-0.039;-0.037;-0.036;-0.034;-0.033;-0.031;-0.03;-0.028;-0.027;-0.025;-0.024;-0.022;-0.021;-0.019;-0.018;-0.016;-0.015;-0.013;-0.012;-0.01;-0.009;-0.007;-0.006;-0.004;-0.003;-0.001;0
25;0;0.005;0.01;0.015;0.021;0.026;0.031;0.054;0.077;0.05;0.024;0.019;0.015;0.012;0.008;0.004;0;0;0;0;0;-0.002;-0.005;-0.007;-0.009;-0.012;-0.014;-0.016;-0.019;-0.021;-0.023;-0.025;-0.028;-0.03;-0.032;-0.035;-0.037;-0.039;-0.042;-0.044;-0.046;-0.045;-0.043;-0.042;-0.04;-0.039;-0.037;-0.036;-0.034;-0.032;-0.031;-0.029;-0.028;-0.026;-0.025;-0.023;-0.022;-0.02;-0.019;-0.017;-0.015;-0.014;-0.012;-0.011;-0.009;-0.008;-0.006;-0.005;-0.003;-0.002;0
26;0;0.005;0.011;0.016;0.021;0.027;0.032;0.056;0.08;0.052;0.024;0.02;0.016;0.012;0.008;0.004;0;0;0;0;0;-0.002;-0.005;-0.007;-0.01;-0.012;-0.014;-0.017;-0.019;-0.022;-0.024;-0.026;-0.029;-0.031;-0.034;-0.036;-0.039;-0.041;-0.043;-0.046;-0.048;-0.047;-0.045;-0.043;-0.042;-0.04;-0.039;-0.037;-0.035;-0.034;-0.032;-0.031;-0.029;-0.027;-0.026;-0.024;-0.022;-0.021;-0.019;-0.018;-0.016;-0.014;-0.013;-0.011;-0.01;-0.008;-0.006;-0.005;-0.003;-0.002;0
27;0;0.006;0.011;0.017;0.022;0.028;0.033;0.058;0.083;0.054;0.025;0.021;0.017;0.013;0.009;0.004;0;0;0;0;0;-0.003;-0.005;-0.008;-0.01;-0.013;-0.015;-0.018;-0.02;-0.023;-0.025;-0.028;-0.03;-0.033;-0.035;-0.038;-0.04;-0.043;-0.045;-0.048;-0.05;-0.048;-0.047;-0.045;-0.043;-0.042;-0.04;-0.038;-0.037;-0.035;-0.033;-0.032;-0.03;-0.028;-0.027;-0.025;-0.023;-0.022;-0.02;-0.018;-0.017;-0.015;-0.013;-0.012;-0.01;-0.008;-0.007;-0.005;-0.003;-0.002;0
28;0;0.006;0.012;0.017;0.023;0.029;0.035;0.061;0.086;0.056;0.026;0.022;0.017;0.013;0.009;0.005;0;0;0;0;0;-0.003;-0.005;-0.008;-0.01;-0.013;-0.016;-0.018;-0.021;-0.023;-0.026;-0.029;-0.031;-0.034;-0.036;-0.039;-0.042;-0.044;-0.047;-0.049;-0.052;-0.05;-0.048;-0.047;-0.045;-0.043;-0.042;-0.04;-0.038;-0.036;-0.035;-0.033;-0.031;-0.029;-0.028;-0.026;-0.024;-0.022;-0.021;-0.019;-0.017;-0.016;-0.014;-0.012;-0.01;-0.009;-0.007;-0.005;-0.003;-0.002;0
29;0;0.006;0.012;0.018;0.024;0.03;0.036;0.063;0.09;0.058;0.027;0.023;0.018;0.014;0.009;0.005;0;0;0;0;0;-0.003;-0.005;-0.008;-0.011;-0.013;-0.016;-0.019;-0.021;-0.024;-0.027;-0.03;-0.032;-0.035;-0.038;-0.04;-0.043;-0.046;-0.048;-0.051;-0.054;-0.052;-0.05;-0.048;-0.047;-0.045;-0.043;-0.041;-0.039;-0.038;-0.036;-0.034;-0.032;-0.03;-0.029;-0.027;-0.025;-0.023;-0.021;-0.02;-0.018;-0.016;-0.014;-0.013;-0.011;-0.009;-0.007;-0.005;-0.004;-0.002;0
30;0;0.006;0.012;0.019;0.025;0.031;0.037;0.065;0.093;0.06;0.028;0.023;0.019;0.014;0.01;0.005;0;0;0;0;0;-0.003;-0.006;-0.008;-0.011;-0.014;-0.017;-0.019;-0.022;-0.025;-0.028;-0.031;-0.033;-0.036;-0.039;-0.042;-0.044;-0.047;-0.05;-0.053;-0.056;-0.054;-0.052;-0.05;-0.048;-0.046;-0.044;-0.043;-0.041;-0.039;-0.037;-0.035;-0.033;-0.031;-0.03;-0.028;-0.026;-0.024;-0.022;-0.02;-0.019;-0.017;-0.015;-0.013;-0.011;-0.009;-0.007;-0.006;-0.004;-0.002;0
31;0;0.006;0.013;0.019;0.026;0.032;0.038;0.067;0.096;0.062;0.029;0.024;0.019;0.015;0.01;0.005;0;0;0;0;0;-0.003;-0.006;-0.009;-0.011;-0.014;-0.017;-0.02;-0.023;-0.026;-0.029;-0.032;-0.034;-0.037;-0.04;-0.043;-0.046;-0.049;-0.052;-0.055;-0.057;-0.056;-0.054;-0.052;-0.05;-0.048;-0.046;-0.044;-0.042;-0.04;-0.038;-0.036;-0.034;-0.033;-0.031;-0.029;-0.027;-0.025;-0.023;-0.021;-0.019;-0.017;-0.015;-0.013;-0.011;-0.01;-0.008;-0.006;-0.004;-0.002;0
32;0;0.007;0.013;0.02;0.026;0.033;0.04;0.069;0.099;0.064;0.03;0.025;0.02;0.015;0.01;0.005;0;0;0;0;0;-0.003;-0.006;-0.009;-0.012;-0.015;-0.018;-0.021;-0.024;-0.027;-0.03;-0.033;-0.036;-0.039;-0.042;-0.044;-0.047;-0.05;-0.053;-0.056;-0.059;-0.057;-0.055;-0.053;-0.051;-0.049;-0.047;-0.045;-0.043;-0.042;-0.04;-0.038;-0.036;-0.034;-0.032;-0.03;-0.028;-0.026;-0.024;-0.022;-0.02;-0.018;-0.016;-0.014;-0.012;-0.01;-0.008;-0.006;-0.004;-0.002;0
33;0;0.007;0.014;0.02;0.027;0.034;0.041;0.071;0.102;0.066;0.031;0.026;0.02;0.016;0.011;0.005;0;0;0;0;0;-0.003;-0.006;-0.009;-0.012;-0.015;-0.018;-0.021;-0.024;-0.028;-0.031;-0.034;-0.037;-0.04;-0.043;-0.046;-0.049;-0.052;-0.055;-0.058;-0.061;-0.059;-0.057;-0.055;-0.053;-0.051;-0.049;-0.047;-0.045;-0.043;-0.041;-0.039;-0.037;-0.035;-0.033;-0.031;-0.029;-0.026;-0.024;-0.022;-0.02;-0.018;-0.016;-0.014;-0.012;-0.01;-0.008;-0.006;-0.004;-0.002;0
34;0;0.007;0.014;0.021;0.028;0.035;0.042;0.074;0.105;0.069;0.032;0.027;0.021;0.016;0.011;0.006;0;0;0;0;0;-0.003;-0.006;-0.009;-0.013;-0.016;-0.019;-0.022;-0.025;-0.028;-0.031;-0.035;-0.038;-0.041;-0.044;-0.047;-0.05;-0.054;-0.057;-0.06;-0.063;-0.061;-0.059;-0.057;-0.055;-0.053;-0.05;-0.048;-0.046;-0.044;-0.042;-0.04;-0.038;-0.036;-0.034;-0.031;-0.029;-0.027;-0.025;-0.023;-0.021;-0.019;-0.017;-0.015;-0.013;-0.01;-0.008;-0.006;-0.004;-0.002;0
35;0;0.019;0.039;0.058;0.077;0.097;0.116;0.137;0.158;0.111;0.063;0.048;0.032;0.022;0.011;0.006;0;0;0;0;0;-0.005;-0.009;-0.014;-0.019;-0.023;-0.028;-0.033;-0.038;-0.042;-0.047;-0.052;-0.056;-0.061;-0.066;-0.07;-0.075;-0.08;-0.085;-0.089;-0.094;-0.094;-0.094;-0.094;-0.094;-0.094;-0.094;-0.094;-0.094;-0.094;-0.094;-0.09;-0.086;-0.081;-0.077;-0.073;-0.069;-0.065;-0.06;-0.056;-0.052;-0.048;-0.044;-0.039;-0.035;-0.031;-0.027;-0.023;-0.018;-0.014;-0.01
36;0;0.032;0.063;0.095;0.126;0.157;0.189;0.205;0.221;0.163;0.105;0.079;0.053;0.032;0.011;0.006;0;0;0;0;0;-0.005;-0.009;-0.014;-0.019;-0.023;-0.028;-0.033;-0.038;-0.042;-0.047;-0.052;-0.056;-0.061;-0.066;-0.07;-0.075;-0.08;-0.085;-0.089;-0.094;-0.095;-0.096;-0.097;-0.098;-0.099;-0.101;-0.102;-0.103;-0.104;-0.105;-0.101;-0.098;-0.094;-0.09;-0.086;-0.083;-0.079;-0.075;-0.072;-0.068;-0.064;-0.061;-0.057;-0.053;-0.049;-0.046;-0.042;-0.038;-0.035;-0.031
37;0;0.047;0.095;0.142;0.189;0.236;0.284;0.284;0.284;0.21;0.137;0.103;0.069;0.045;0.022;0.013;0.006;0.004;0.003;0.001;0;-0.004;-0.008;-0.013;-0.017;-0.021;-0.025;-0.029;-0.034;-0.038;-0.042;-0.046;-0.05;-0.055;-0.059;-0.063;-0.067;-0.071;-0.076;-0.08;-0.084;-0.085;-0.086;-0.087;-0.088;-0.089;-0.09;-0.091;-0.092;-0.093;-0.094;-0.091;-0.088;-0.085;-0.082;-0.079;-0.075;-0.072;-0.069;-0.066;-0.063;-0.06;-0.056;-0.053;-0.05;-0.047;-0.044;-0.041;-0.037;-0.034;-0.031
38;0;0.063;0.126;0.189;0.252;0.315;0.378;0.363;0.347;0.258;0.168;0.126;0.084;0.058;0.032;0.022;0.011;0.008;0.006;0.003;0;-0.004;-0.007;-0.011;-0.015;-0.018;-0.022;-0.026;-0.03;-0.033;-0.037;-0.041;-0.044;-0.048;-0.052;-0.055;-0.059;-0.063;-0.067;-0.07;-0.074;-0.075;-0.076;-0.077;-0.078;-0.079;-0.08;-0.081;-0.082;-0.083;-0.084;-0.081;-0.079;-0.076;-0.073;-0.071;-0.068;-0.065;-0.063;-0.06;-0.057;-0.055;-0.052;-0.05;-0.047;-0.044;-0.042;-0.039;-0.036;-0.034;-0.031
39;0;0.083;0.166;0.249;0.331;0.414;0.497;0.461;0.424;0.319;0.214;0.161;0.109;0.076;0.042;0.028;0.014;0.011;0.007;0.004;0;-0.003;-0.006;-0.009;-0.013;-0.016;-0.019;-0.022;-0.025;-0.028;-0.032;-0.035;-0.038;-0.041;-0.044;-0.047;-0.051;-0.054;-0.057;-0.06;-0.063;-0.064;-0.065;-0.066;-0.067;-0.068;-0.07;-0.071;-0.072;-0.073;-0.074;-0.071;-0.069;-0.067;-0.064;-0.062;-0.06;-0.058;-0.055;-0.053;-0.051;-0.048;-0.046;-0.044;-0.041;-0.039;-0.037;-0.035;-0.032;-0.03;-0.028
40;0;0.103;0.205;0.308;0.411;0.513;0.616;0.559;0.501;0.38;0.259;0.196;0.133;0.093;0.053;0.035;0.018;0.013;0.009;0.004;0;-0.003;-0.005;-0.008;-0.011;-0.013;-0.016;-0.018;-0.021;-0.024;-0.026;-0.029;-0.032;-0.034;-0.037;-0.039;-0.042;-0.045;-0.047;-0.05;-0.053;-0.054;-0.055;-0.056;-0.057;-0.058;-0.059;-0.06;-0.061;-0.062;-0.063;-0.061;-0.059;-0.057;-0.056;-0.054;-0.052;-0.05;-0.048;-0.046;-0.044;-0.042;-0.04;-0.038;-0.036;-0.034;-0.032;-0.03;-0.028;-0.026;-0.024
41;0;0.122;0.245;0.368;0.49;0.613;0.735;0.657;0.578;0.442;0.305;0.231;0.158;0.111;0.063;0.042;0.021;0.016;0.011;0.005;0;-0.002;-0.004;-0.006;-0.008;-0.01;-0.013;-0.015;-0.017;-0.019;-0.021;-0.023;-0.025;-0.027;-0.029;-0.031;-0.034;-0.036;-0.038;-0.04;-0.042;-0.043;-0.044;-0.045;-0.046;-0.047;-0.049;-0.05;-0.051;-0.052;-0.053;-0.051;-0.05;-0.048;-0.047;-0.045;-0.043;-0.042;-0.04;-0.039;-0.037;-0.035;-0.034;-0.032;-0.031;-0.029;-0.027;-0.026;-0.024;-0.023;-0.021
42;0;0.148;0.296;0.445;0.593;0.741;0.889;0.79;0.692;0.539;0.385;0.297;0.209;0.15;0.091;0.063;0.035;0.027;0.018;0.01;0.002;0;-0.002;-0.004;-0.006;-0.008;-0.01;-0.012;-0.014;-0.015;-0.017;-0.019;-0.021;-0.023;-0.025;-0.027;-0.029;-0.031;-0.033;-0.035;-0.037;-0.038;-0.038;-0.039;-0.04;-0.041;-0.042;-0.043;-0.044;-0.045;-0.046;-0.044;-0.043;-0.042;-0.04;-0.039;-0.038;-0.036;-0.035;-0.034;-0.032;-0.031;-0.03;-0.028;-0.027;-0.026;-0.024;-0.023;-0.022;-0.02;-0.019
